teamId, playerId, firstName, lastName, displayName, shortName
232,5105765, Spencer, Spencer, Spencer Legg, S. Legg
232,5105760, Khalil, Khalil, Khalil London, K. London
232,4896998, Jack, Jack, Jack Miller, J. Miller
232,4396789, Frankie, Frankie, Frankie Policelli, F. Policelli
232,4897001, Dylan, Dylan, Dylan Ritter, D. Ritter
232,5174946, Kobe, Kobe, Kobe Rodgers, K. Rodgers
232,5102798, James, James, James Scott, J. Scott
232,4896994, Reyne, Reyne, Reyne Smith, R. Smith
232,5102799, Mayar, Mayar, Mayar Wol, M. Wol
21,4431879, Cade, Cade, Cade Alger, C. Alger
21,4593084, Jared, Jared, Jared Barnett, J. Barnett
21,4702881, Triston, Triston, Triston Broughton, T. Broughton
21,4702879, Tyler, Tyler, Tyler Broughton, T. Broughton
21,4433183, Lamont, Lamont, Lamont Butler, L. Butler
21,5107804, Miles, Miles, Miles Byrd, M. Byrd
21,5176241, BJ, BJ, BJ Davis, B. Davis
21,5176240, Magoon, Magoon, Magoon Gwath, M. Gwath
21,5176243, Miles, Miles, Miles Heide, M. Heide
21,4897531, Demarshay, Demarshay, Demarshay Johnson Jr., D. Johnson Jr.
21,5107803, Cam, Cam, Cam Lawin, C. Lawin
21,5183181, Desai, Desai, Desai Lopez, D. Lopez
21,4703247, Jay, Jay, Jay Pal, J. Pal
21,4702719, Micah, Micah, Micah Parrish, M. Parrish
21,5176244, Ryan, Ryan, Ryan Raad, R. Raad
21,4870565, Elijah, Elijah, Elijah Saunders, E. Saunders
21,5176242, Ryan, Ryan, Ryan Schwarz, R. Schwarz
21,4702011, Darrion, Darrion, Darrion Trammell, D. Trammell
21,4711593, Reese, Reese, Reese Waters, R. Waters
5,4397473, Tyler, Tyler, Tyler Bertram, T. Bertram
5,4901961, Christian, Christian, Christian Coleman, C. Coleman
5,4593281, Jon, Jon, Jon Coleman, J. Coleman
5,4592739, Javian, Javian, Javian Davis, J. Davis
5,4912986, Ryan, Ryan, Ryan Donohoo, R. Donohoo
5,4683675, Barry, Barry, Barry Dunning Jr., B. Dunning Jr.
5,4682883, Eric, Eric, Eric Gaines, E. Gaines
5,4432400, Rongie, Rongie, Rongie Gordon, R. Gordon
5,5175739, Marquis, Marquis, Marquis Hargrove, M. Hargrove
5,5107144, Efrem, Efrem, Efrem Johnson, E. Johnson
5,5175737, Yaxel, Yaxel, Yaxel Lendeborg, Y. Lendeborg
5,4897604, Daniel, Daniel, Daniel Ortiz, D. Ortiz
5,5175738, KJ, KJ, KJ Satterfield, K. Satterfield
5,4684838, Will, Will, Will Shaver, W. Shaver
5,5107145, Seth, Seth, Seth Sigmon, S. Sigmon
5,4703133, Tony, Tony, Tony Toney, T. Toney
5,4592489, Alejandro, Alejandro, Alejandro Vasquez, A. Vasquez
5,4683641, James, James, James White, J. White
275,5103630, John, John, John Blackwell, J. Blackwell
275,5105864, Ross, Ross, Ross Candelino, R. Candelino
275,4588201, Steven, Steven, Steven Crowl, S. Crowl
275,4433242, Jordan, Jordan, Jordan Davis, J. Davis
275,5105861, Connor, Connor, Connor Essegian, C. Essegian
275,5105863, Isaac, Isaac, Isaac Gard, I. Gard
275,4702534, Carter, Carter, Carter Gilmore, C. Gilmore
275,5105862, Luke, Luke, Luke Haertle, L. Haertle
275,4590360, Chucky, Chucky, Chucky Hepburn, C. Hepburn
275,4433615, Chris, Chris, Chris Hodges, C. Hodges
275,4715351, Markus, Markus, Markus Ilver, M. Ilver
275,5174807, Jack, Jack, Jack Janicki, J. Janicki
275,4703885, Max, Max, Max Klesmit, M. Klesmit
275,4703389, Isaac, Isaac, Isaac Lindsey, I. Lindsey
275,4897723, Kamari, Kamari, Kamari McGee, K. McGee
275,5105603, AJ, AJ, AJ Storr, A. Storr
275,4895783, Nolan, Nolan, Nolan Winter, N. Winter
275,4685686, Gus, Gus, Gus Yalden, G. Yalden
256,4433257, Quincy, Quincy, Quincy Allen, Q. Allen
256,4702765, Justin, Justin, Justin Amadi, J. Amadi
256,5107223, Brycen, Brycen, Brycen Blaine, B. Blaine
256,5107222, Xavier, Xavier, Xavier Brown, X. Brown
256,4685687, Jaylen, Jaylen, Jaylen Carey, J. Carey
256,4702766, Terrence, Terrence, Terrence Edwards Jr., T. Edwards Jr.
256,4897706, Shane, Shane, Shane Feden, S. Feden
256,4431956, Noah, Noah, Noah Freidel, N. Freidel
256,4593261, Michael, Michael, Michael Green III, M. Green III
256,4896996, Raekwon, Raekwon, Raekwon Horton, R. Horton
256,4702666, Tyree, Tyree, Tyree Ihenacho, T. Ihenacho
256,5174865, Aidan, Aidan, Aidan Mckeon, A. Mckeon
256,5174864, Jarrell, Jarrell, Jarrell Pope, J. Pope
256,4592743, Bryant, Bryant, Bryant Randleman, B. Randleman
256,5107225, Jerrell, Jerrell, Jerrell Roberson, J. Roberson
256,4702769, Hollman, Hollman, Hollman Smith, H. Smith
256,4702767, Terell, Terell, Terell Strickland, T. Strickland
256,4433127, Julien, Julien, Julien Wooden, J. Wooden
2608,4701184, Luke, Luke, Luke Barrett, L. Barrett
2608,5105419, Cade, Cade, Cade Bennett, C. Bennett
2608,5176482, Jensen, Jensen, Jensen Bradtke, J. Bradtke
2608,4397970, Mason, Mason, Mason Forbes, M. Forbes
2608,5105421, Kevin, Kevin, Kevin Gad, K. Gad
2608,5123978, Rory, Rory, Rory Hawke, R. Hawke
2608,4684163, Chris, Chris, Chris Howell, C. Howell
2608,4870564, Joshua, Joshua, Joshua Jefferson, J. Jefferson
2608,4684628, Aidan, Aidan, Aidan Mahaney, A. Mahaney
2608,4897197, Augustas, Augustas, Augustas Marciulionis, A. Marciulionis
2608,5176481, Andrew, Andrew, Andrew McKeever, A. McKeever
2608,4711402, Jordan, Jordan, Jordan Ross, J. Ross
2608,4701182, Mitchell, Mitchell, Mitchell Saxen, M. Saxen
